,age,workclass, fnlwgt ,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hour-per-week,native-country,income
20962,29, Private," 663,394 ", HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States, <=50K
13369,27, Private," 660,870 ", Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
20255,69, Local-gov," 660,461 ", HS-grad,9, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,20, United-States, <=50K
19008,56, Private," 659,558 ", 12th,8, Widowed, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
18143,36, Private," 659,504 ", Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, United-States, >50K
7664,17, ?," 659,273 ", 11th,7, Never-married, ?, Own-child, Black, Female,0,0,40, Trinadad&Tobago, <=50K
30118,42, Private," 657,397 ", HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K
2761,56, ?," 656,036 ", HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,25, United-States, <=50K
4279,59, Private," 656,036 ", Bachelors,13, Separated, Adm-clerical, Unmarried, White, Male,0,0,60, United-States, <=50K
14841,21, Private," 654,141 ", HS-grad,9, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,32, United-States, <=50K
26774,24, Private," 653,574 ", HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, El-Salvador, <=50K
30499,20, Private," 653,574 ", Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,33, El-Salvador, <=50K
17297,31, Private," 651,396 ", HS-grad,9, Never-married, Sales, Own-child, White, Female,0,1594,30, United-States, <=50K
9019,41, Private," 648,223 ", 1st-4th,2, Married-spouse-absent, Farming-fishing, Unmarried, White, Male,0,0,40, Mexico, <=50K
9617,32, ?," 647,882 ", HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, ?, <=50K
6168,70, Private," 642,830 ", HS-grad,9, Divorced, Protective-serv, Not-in-family, White, Female,0,0,32, United-States, <=50K
3748,32, ?," 640,383 ", Bachelors,13, Divorced, ?, Unmarried, White, Female,0,0,40, United-States, <=50K
3194,33, Private," 637,222 ", 12th,8, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States, <=50K
8659,20, Private," 637,080 ", Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,25, United-States, <=50K
21954,23, Private," 636,017 ", Some-college,10, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
216,37, Private," 635,913 ", Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,60, United-States, >50K
15351,17, ?," 634,226 ", 10th,6, Never-married, ?, Own-child, White, Female,0,0,17, United-States, <=50K
183,30, Private," 633,742 ", Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, United-States, <=50K
12079,25, Private," 632,834 ", HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
4974,37, Private," 632,613 ", 10th,6, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,35, Mexico, <=50K
5506,29, Private," 632,593 ", HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
17536,64, Private," 631,947 ", 10th,6, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
4730,69, ?," 628,797 ", Some-college,10, Widowed, ?, Not-in-family, White, Female,0,0,20, United-States, <=50K
23768,33, Private," 618,191 ", HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
20319,38, Private," 617,898 ", Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
15729,27, Private," 617,860 ", Some-college,10, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,40, United-States, <=50K
3613,52, Federal-gov," 617,021 ", Bachelors,13, Married-civ-spouse, Tech-support, Husband, Black, Male,7688,0,40, United-States, >50K
15737,33, Federal-gov," 615,893 ", Masters,14, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Nicaragua, <=50K
19631,22, Private," 615,367 ", Bachelors,13, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
27234,23, Private," 615,367 ", Bachelors,13, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
3871,24, Private," 611,029 ", 10th,6, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
19170,36, Self-emp-not-inc," 609,935 ", Bachelors,13, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,48, ?, <=50K
20532,34, Private," 609,789 ", HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,30, ?, <=50K
20597,30, Private," 609,789 ", 11th,7, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, Mexico, <=50K
21791,33, Private," 609,789 ", Assoc-acdm,12, Married-spouse-absent, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
29486,30, Self-emp-not-inc," 609,789 ", Assoc-voc,11, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
8037,53, Private," 608,184 ", Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1902,40, United-States, >50K
19253,53, Local-gov," 608,184 ", HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, >50K
10720,36, Private," 607,848 ", Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,7688,0,45, United-States, >50K
18276,38, Private," 607,848 ", Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
22141,37, Self-emp-not-inc," 607,848 ", Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
13308,19, Private," 607,799 ", HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,60, United-States, <=50K
29696,47, Private," 606,752 ", Masters,14, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
15205,28, Private," 606,111 ", Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, Germany, >50K
28723,36, Private," 605,502 ", 10th,6, Never-married, Transport-moving, Not-in-family, Black, Female,0,0,40, United-States, <=50K
17784,24, Private," 604,537 ", HS-grad,9, Never-married, Transport-moving, Unmarried, White, Male,0,0,40, Mexico, <=50K
6853,32, Private," 604,506 ", HS-grad,9, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,72, Mexico, <=50K
29348,46, Private," 604,380 ", HS-grad,9, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, United-States, <=50K
28642,27, Private," 604,045 ", Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
22571,43, Self-emp-inc," 602,513 ", Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
23601,41, Private," 599,629 ", Some-college,10, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, United-States, >50K
20537,43, Local-gov," 598,995 ", Bachelors,13, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,42, United-States, <=50K
23157,33, Private," 598,802 ", Some-college,10, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
3410,43, Private," 598,606 ", 9th,5, Separated, Handlers-cleaners, Unmarried, Black, Female,0,0,50, United-States, <=50K
24097,39, Self-emp-not-inc," 597,843 ", Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, Columbia, <=50K
3720,21, Local-gov," 596,776 ", Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Guatemala, <=50K
24100,23, Private," 595,461 ", 7th-8th,4, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Mexico, <=50K
22083,28, Private," 595,088 ", Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,63, United-States, <=50K
5531,34, State-gov," 595,000 ", Masters,14, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, United-States, >50K
6733,31, Private," 595,000 ", HS-grad,9, Never-married, Handlers-cleaners, Other-relative, Black, Female,0,0,35, United-States, <=50K
26187,33, Private," 594,187 ", Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
28155,31, Private," 594,187 ", HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
16992,37, Local-gov," 593,246 ", Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States, >50K
12061,36, Private," 592,930 ", HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,50, United-States, >50K
15954,31, Private," 591,711 ", Some-college,10, Married-spouse-absent, Transport-moving, Not-in-family, Black, Male,0,0,40, ?, <=50K
28045,34, Private," 591,711 ", Some-college,10, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,48, ?, <=50K
28746,35, Private," 589,809 ", Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male,13550,0,60, United-States, >50K
3739,27, Private," 588,905 ", HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
25804,62, Private," 588,484 ", Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,20, United-States, >50K
28897,37, Private," 588,003 ", Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
4698,27, Private," 587,310 ", 7th-8th,4, Never-married, Other-service, Other-relative, White, Male,0,0,35, Guatemala, <=50K
8238,47, Private," 586,657 ", Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Japan, >50K
11837,49, Federal-gov," 586,657 ", Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, United-States, >50K
31117,46, Private," 585,361 ", 9th,5, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
9716,24, Private," 585,203 ", Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,7688,0,45, United-States, >50K
30064,28, Private," 584,790 ", Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
31391,61, ?," 584,259 ", Masters,14, Married-civ-spouse, ?, Husband, White, Male,0,0,2, United-States, >50K
29408,47, Private," 583,755 ", HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States, >50K
11885,34, Private," 581,071 ", HS-grad,9, Separated, Adm-clerical, Not-in-family, White, Male,0,0,48, United-States, >50K
3570,23, Private," 580,248 ", HS-grad,9, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
23033,33, Private," 578,701 ", Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, ?, <=50K
18860,36, Local-gov," 578,377 ", Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
6784,18, Private," 577,521 ", 11th,7, Never-married, Sales, Own-child, White, Male,0,0,13, United-States, <=50K
11978,41, Local-gov," 575,442 ", Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
24017,19, Private," 574,271 ", HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,28, United-States, <=50K
25939,19, Private," 574,271 ", Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,35, United-States, <=50K
28597,31, Private," 574,005 ", Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, United-States, >50K
2901,47, Private," 573,583 ", HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, Italy, >50K
3503,40, Private," 572,751 ", Prof-school,15, Married-civ-spouse, Craft-repair, Husband, White, Male,5178,0,40, Mexico, >50K
24559,42, Private," 572,751 ", Preschool,1, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Nicaragua, <=50K
5351,19, Private," 571,853 ", HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
23640,56, Local-gov," 571,017 ", Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,15, United-States, <=50K
21805,25, Private," 570,821 ", Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
27609,58, Private," 570,562 ", HS-grad,9, Widowed, Sales, Not-in-family, White, Male,0,0,38, United-States, <=50K
29151,19, Private," 570,002 ", Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
30933,42, Local-gov," 569,930 ", Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States, >50K
9701,44, Private," 569,761 ", Assoc-voc,11, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States, <=50K
15510,29, Private," 568,490 ", HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
9755,44, Self-emp-not-inc," 567,788 ", 5th-6th,3, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Mexico, <=50K
32036,40, Private," 566,537 ", Preschool,1, Married-civ-spouse, Other-service, Husband, White, Male,0,1672,40, Mexico, <=50K
2771,32, Federal-gov," 566,117 ", Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
22424,17, Private," 566,049 ", 10th,6, Never-married, Other-service, Own-child, White, Male,0,0,8, United-States, <=50K
15900,23, Private," 565,313 ", Some-college,10, Never-married, Other-service, Own-child, Black, Male,2202,0,80, United-States, <=50K
6880,41, Federal-gov," 564,135 ", Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
1455,46, Private," 563,883 ", HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,60, United-States, >50K
6145,57, Private," 562,558 ", HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
19690,80, Self-emp-not-inc," 562,336 ", HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,20, United-States, <=50K
18765,52, Self-emp-inc," 561,489 ", Masters,14, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,50, United-States, <=50K
8346,31, Private," 561,334 ", HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
29094,34, Private," 561,334 ", Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
10401,19, Private," 560,804 ", Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
12333,40, Private," 558,944 ", 7th-8th,4, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
26505,50, Private," 558,490 ", HS-grad,9, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
11057,49, ?," 558,183 ", Assoc-voc,11, Married-spouse-absent, ?, Unmarried, White, Female,0,0,40, United-States, <=50K
23818,31, State-gov," 557,853 ", Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,47, United-States, <=50K
29600,42, Federal-gov," 557,644 ", HS-grad,9, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
29438,43, Private," 557,349 ", 10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Yugoslavia, <=50K
19653,26, Private," 557,236 ", HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
6288,25, Private," 557,082 ", HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
21294,35, Private," 556,902 ", HS-grad,9, Divorced, Other-service, Not-in-family, Black, Male,0,0,40, United-States, <=50K
18195,59, ?," 556,688 ", 9th,5, Divorced, ?, Not-in-family, White, Female,0,0,12, United-States, <=50K
652,24, Private," 556,660 ", HS-grad,9, Never-married, Exec-managerial, Other-relative, White, Male,4101,0,50, United-States, <=50K
13188,45, Local-gov," 556,652 ", HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
12029,33, Private," 554,986 ", Some-college,10, Separated, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
12512,22, Private," 554,317 ", 9th,5, Married-spouse-absent, Other-service, Other-relative, White, Male,0,0,35, Mexico, <=50K
22861,34, Private," 554,206 ", HS-grad,9, Separated, Transport-moving, Not-in-family, Black, Male,0,0,20, United-States, <=50K
29918,33, Private," 554,206 ", Some-college,10, Never-married, Tech-support, Not-in-family, Black, Male,0,0,40, Philippines, <=50K
10008,27, State-gov," 553,473 ", Bachelors,13, Married-civ-spouse, Protective-serv, Wife, Black, Female,0,0,48, United-States, <=50K
